zip,lat,lng,city,population,county_name
60172,41.97968,-88.0896,Roselle,24551,DuPage
60173,42.05159,-88.05196,Schaumburg,12162,Cook
60174,41.92723,-88.29934,Saint Charles,31405,Kane
60175,41.947,-88.39103,Saint Charles,25734,Kane
60176,41.95816,-87.86891,Schiller Park,11704,Cook
60177,41.98991,-88.30998,South Elgin,23109,Kane
60178,42.00638,-88.66896,Sycamore,22413,DeKalb
60180,42.22529,-88.52456,Union,2077,McHenry
60181,41.87823,-87.97633,Villa Park,28801,DuPage
60184,41.95248,-88.25372,Wayne,2357,DuPage
60185,41.89482,-88.21262,West Chicago,36129,DuPage
60187,41.87242,-88.11229,Wheaton,29708,DuPage
60188,41.9159,-88.12924,Carol Stream,42602,DuPage
60189,41.83975,-88.11787,Wheaton,30427,DuPage
60190,41.8717,-88.15683,Winfield,11143,DuPage
60191,41.96613,-87.98076,Wood Dale,14147,DuPage
60192,42.0737,-88.18223,Hoffman Estates,15650,Cook
60193,42.01177,-88.09624,Schaumburg,40248,Cook
60194,42.03363,-88.11152,Schaumburg,18946,Cook
60195,42.06708,-88.09126,Schaumburg,5568,Cook
60201,42.05662,-87.69735,Evanston,42296,Cook
60202,42.03045,-87.68954,Evanston,32861,Cook
60203,42.04902,-87.71749,Evanston,4188,Cook
60301,41.88876,-87.79919,Oak Park,2536,Cook
60302,41.89463,-87.78971,Oak Park,32048,Cook
60304,41.87243,-87.78948,Oak Park,17641,Cook
60305,41.895,-87.81936,River Forest,11064,Cook
60401,41.34396,-87.61374,Beecher,7779,Will
60402,41.83469,-87.79139,Berwyn,63554,Cook
60403,41.57228,-88.11399,Crest Hill,18254,Will
60404,41.50876,-88.22307,Shorewood,18796,Will
60406,41.65472,-87.68184,Blue Island,25256,Cook
60407,41.23056,-88.26933,Braceville,1696,Grundy
60408,41.26375,-88.21672,Braidwood,5649,Will
60409,41.61324,-87.55132,Calumet City,36955,Cook
60410,41.42205,-88.21366,Channahon,12791,Will
60411,41.50869,-87.59056,Chicago Heights,57800,Cook
60415,41.70292,-87.77881,Chicago Ridge,14254,Cook
60416,41.29311,-88.28182,Coal City,9164,Grundy
60417,41.42887,-87.59319,Crete,15225,Will
60419,41.62774,-87.59943,Dolton,22644,Cook
60420,41.08772,-88.41721,Dwight,4812,Livingston
60421,41.43127,-88.09955,Elwood,3843,Will
60422,41.53698,-87.68411,Flossmoor,9768,Cook
60423,41.47957,-87.83793,Frankfort,30938,Will
60424,41.1682,-88.32732,Gardner,2465,Grundy
60425,41.54551,-87.61171,Glenwood,8912,Cook
60426,41.61032,-87.65341,Harvey,28924,Cook
60428,41.59979,-87.69054,Markham,12271,Cook
60429,41.57366,-87.68409,Hazel Crest,15387,Cook
60430,41.55767,-87.66468,Homewood,20227,Cook
60431,41.53267,-88.20524,Joliet,23219,Will
60432,41.54029,-88.04151,Joliet,20222,Will
60433,41.49967,-88.04321,Joliet,16629,Will
60435,41.54542,-88.12991,Joliet,49863,Will
60436,41.49231,-88.12256,Joliet,18945,Will
60437,41.16305,-88.55351,Kinsman,183,Grundy
60438,41.56661,-87.55086,Lansing,28960,Cook
60439,41.67522,-87.98217,Lemont,23422,Cook
60440,41.70022,-88.07509,Bolingbrook,52246,Will
60441,41.59298,-88.05067,Lockport,35415,Will
60442,41.39275,-87.96353,Manhattan,10531,Will
60443,41.50372,-87.74683,Matteson,21554,Cook
60444,41.24234,-88.40224,Mazon,1721,Grundy
60445,41.63501,-87.7362,Midlothian,25930,Cook
60446,41.6318,-88.10459,Romeoville,40085,Will
60447,41.4882,-88.32419,Minooka,14220,Grundy
60448,41.5377,-87.89374,Mokena,26710,Will
60449,41.41569,-87.77244,Monee,9400,Will
60450,41.36951,-88.43282,Morris,20460,Grundy
60451,41.5069,-87.96071,New Lenox,34945,Will
60452,41.60767,-87.75535,Oak Forest,28324,Cook
60453,41.71427,-87.75283,Oak Lawn,56420,Cook
60455,41.74211,-87.80863,Bridgeview,16479,Cook
60456,41.73123,-87.73106,Hometown,4308,Cook
60457,41.72464,-87.82808,Hickory Hills,14018,Cook
60458,41.74892,-87.83453,Justice,15288,Cook
60459,41.74446,-87.76858,Burbank,28908,Cook
60460,41.0012,-88.53656,Odell,1333,Livingston
60461,41.51665,-87.69085,Olympia Fields,4917,Cook
60462,41.62489,-87.83245,Orland Park,40305,Cook
60463,41.66097,-87.78998,Palos Heights,14926,Cook
60464,41.66249,-87.86183,Palos Park,9715,Cook
60465,41.69844,-87.82886,Palos Hills,17473,Cook
60466,41.47904,-87.68284,Park Forest,21989,Cook
60467,41.60181,-87.88989,Orland Park,26628,Cook
60468,41.33633,-87.81131,Peotone,6044,Will
